"geographyId","currency_ReferenceRate","totalSignedAmount_ReferenceRate","totalCommitmentAmount_ReferenceRate","totalDisbursedAmount_ReferenceRate","code","name"
"19a42508-b05c-4128-a2ed-ff5eea6af30d","USD",110136808.53,110136808.53,110136808.53,"TNZ-911-G14-S",NA
"8a024a2f-4b31-4382-8c1e-1402ec2bff24","USD",5716356.01,5716356.01,5716356.01,"TGO-304-G02-M",NA
"01ad29a8-26df-4d6a-8ab6-b2268b79f21d","USD",15216771.29,15216771.29,15216771.29,"ECU-405-G02-T",NA
"d0e17d32-68e3-481a-9ca5-bac4e685c119","USD",12534964.28,12534964.28,12534964.28,"IDN-809-G13-M",NA
"778aa112-0067-4fe9-a0b4-e4bd72ef67de","USD",1659548.94,1659548.94,1659548.94,"NPL-708-G07-M",NA
"d619f707-e72b-429a-9050-1ee690e285d8","USD",6297162.03,5128207.52,4914199.6,"BTN-C-MOH",NA
"1a056eb8-2c2d-4a5a-8263-3c0b24d1b44c","USD",1382784,1382784,1382784,"PAK-304-G04-M",NA
"9e2e4c76-e3b7-480b-ba13-e1174183d95e","USD",16589870,16589870,16589870,"MOL-H-PAS",NA
"f1b33974-aeec-4ab8-9519-bd3600122512","USD",51818545,19169502,5134134,"ZAF-C-Aurum",NA
"ed3fb9ed-a462-4743-b6d3-12b20f363974","USD",109946509.65,109946509.65,109946509.65,"CIV-809-G09-M",NA
"ec4cbe95-b688-4ab8-bb5b-61f6d90910a9","USD",33468658.23,33468658.23,33468658.23,"UZB-H-UNDP",NA
"422a9c0c-7b21-48fa-b37c-61a1ada27bd1","USD",26502694.58,26502694.58,26502694.58,"MOZ-202-G03-M-00",NA
"8821256b-ea63-4407-adbf-3ddf43878055","USD",517366424.76,486522315.73,470375335.88,"COD-C-CORDAID",NA
"5061c5f2-1100-4eed-9cff-83787e240c78","USD",35469584.73,35469584.73,35469584.73,"ETH-708-G08-H",NA
"b2d78cbb-a8d0-45e2-a78c-9e53b907c4a3","USD",56412590.6,56412590.6,56412590.6,"MLW-708-G05-M",NA
"013e944b-94da-41e1-90d1-b22b4f87f1cc","USD",28176853,28176853,28176853,"KEN-708-G10-H",NA
"422a9c0c-7b21-48fa-b37c-61a1ada27bd1","USD",151969247.89,139892377.5,139304703.06,"MOZ-T-MOH",NA
"b3174ce7-b534-4296-bade-cea09beeeb04","USD",17446519.44,17446519.44,17446519.44,"MAL-809-G08-H",NA
"1a056eb8-2c2d-4a5a-8263-3c0b24d1b44c","USD",608560345.69,574783313.23,555275642.49,"PAK-T-NTP",NA
"97066ca6-87c9-41ac-8e17-859ff7daa514","USD",715488.92,715488.92,715488.92,"LKA-911-G14-H",NA
"7b433a8d-92ac-4557-beab-13ceee659690","USD",16045476.63,16045476.63,16045476.63,"PHL-506-G06-T",NA
"2afb8ffb-ea1a-42a0-b9a8-357ca8434d92","USD",36251769,36251769,36251769,"HTI-M-PSI",NA
"430b8acd-ef36-4ef1-8231-0e730499d19a","USD",270779194.11,270779194.11,270779194.11,"NGA-809-G14-M",NA
"b3d59122-9d71-4df9-ae0e-9e4b1b315de8","USD",324179010.08,298368119.08,296932119.08,"MMR-H-UNOPS",NA
"3ca6b230-0a31-427f-9b06-449580920816","USD",8069695,5567857.86,4745114.48,"SLB-Z-WVI",NA
"580f6be8-8d1f-49e8-9363-b6a23a27d349","USD",2688274.3,2688274.3,2688274.3,"JOR-506-G02-T",NA
"92f5ad2d-0fdd-4f50-8f68-2cdd31aa4925","USD",8283978.61,8283978.61,8283978.61,"SYR-607-G01-T",NA
"9e2e4c76-e3b7-480b-ba13-e1174183d95e","USD",957067.38,957067.38,957067.38,"MDA-809-G05-T",NA
"d0e17d32-68e3-481a-9ca5-bac4e685c119","USD",12084806,12084806,12084806,"IND-809-G12-T",NA
