dataElement,period,orgUnit,categoryOptionCombo,attributeOptionCombo,value
U9bwLLVr6Wo,2024Q4,HfVjCurKxh2,HllvX50cXC0,HllvX50cXC0,5
U9bwLLVr6Wo,2024Q4,HfVjCurKxh2,HllvX50cXC0,HllvX50cXC0,5
DzGpKeZDmMs,2024Q4,HfVjCurKxh2,HllvX50cXC0,HllvX50cXC0,4
DzGpKeZDmMs,2024Q4,HfVjCurKxh2,HllvX50cXC0,HllvX50cXC0,4
e2KE4ELNvn6,2024Q4,HfVjCurKxh2,HllvX50cXC0,HllvX50cXC0,3
yQfUNTH2xn4,2024Q4,HfVjCurKxh2,HllvX50cXC0,HllvX50cXC0,2
yQfUNTH2xn4,2024Q4,HfVjCurKxh2,HllvX50cXC0,HllvX50cXC0,2
aevHWT9MqpA,2024Q4,HfVjCurKxh2,HllvX50cXC0,HllvX50cXC0,1
aevHWT9MqpA,2024Q4,HfVjCurKxh2,HllvX50cXC0,HllvX50cXC0,1
cYD9V3DBmvi,2024Q4,HfVjCurKxh2,HllvX50cXC0,HllvX50cXC0,1
cYD9V3DBmvi,2024Q4,HfVjCurKxh2,HllvX50cXC0,HllvX50cXC0,1
USUWqbrgSlz,2024Q4,HfVjCurKxh2,HllvX50cXC0,HllvX50cXC0,1
USUWqbrgSlz,2024Q4,HfVjCurKxh2,HllvX50cXC0,HllvX50cXC0,1
