name,id,code,shortName,description,formName,domainType,valueType,aggregationoperator,fieldMask,categoryCombo.id,class,cycle,Inverse
[GC7/H-KRCS/HIV I-14/COMMENT/IMPACT] # of new HIV infections per 1000 uninfected population,ZRYZFrbQeGx,GC7/H-KRCS/HIV I-14/COMMENT/IMPACT,GC7/H-KRCS/HIV I-14/COMMENT/IMPACT,# of new HIV infections per 1000 uninfected population,LONG_TEXT,AGGREGATE,LONG_TEXT,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV I-14/RESULT/IMPACT] # of new HIV infections per 1000 uninfected population,bnByxyfBc0w,GC7/H-KRCS/HIV I-14/RESULT/IMPACT,GC7/H-KRCS/HIV I-14/RESULT/IMPACT,# of new HIV infections per 1000 uninfected population,NUMBER,AGGREGATE,NUMBER,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV I-14/TARGET/IMPACT] # of new HIV infections per 1000 uninfected population,q0HeDFo5bAb,GC7/H-KRCS/HIV I-14/TARGET/IMPACT,GC7/H-KRCS/HIV I-14/TARGET/IMPACT,# of new HIV infections per 1000 uninfected population,NUMBER,AGGREGATE,NUMBER,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
"[GC7/H-KRCS/HIV I-4/COMMENT/IMPACT] # of AIDS-related deaths per 100,000 population",AytchAc6UeD,GC7/H-KRCS/HIV I-4/COMMENT/IMPACT,GC7/H-KRCS/HIV I-4/COMMENT/IMPACT,"# of AIDS-related deaths per 100,000 population",LONG_TEXT,AGGREGATE,LONG_TEXT,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
"[GC7/H-KRCS/HIV I-4/RESULT/IMPACT] # of AIDS-related deaths per 100,000 population",GEvuwuun5E0,GC7/H-KRCS/HIV I-4/RESULT/IMPACT,GC7/H-KRCS/HIV I-4/RESULT/IMPACT,"# of AIDS-related deaths per 100,000 population",NUMBER,AGGREGATE,NUMBER,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
"[GC7/H-KRCS/HIV I-4/TARGET/IMPACT] # of AIDS-related deaths per 100,000 population",aqnck5zoQXi,GC7/H-KRCS/HIV I-4/TARGET/IMPACT,GC7/H-KRCS/HIV I-4/TARGET/IMPACT,"# of AIDS-related deaths per 100,000 population",NUMBER,AGGREGATE,NUMBER,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV I-6/COMMENT/IMPACT] Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months,DDd0Tsd9Iuw,GC7/H-KRCS/HIV I-6/COMMENT/IMPACT,GC7/H-KRCS/HIV I-6/COMMENT/IMPACT,Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months,LONG_TEXT,AGGREGATE,LONG_TEXT,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV I-6/RESULT/IMPACT] Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months,EfaXi5S7haT,GC7/H-KRCS/HIV I-6/RESULT/IMPACT,GC7/H-KRCS/HIV I-6/RESULT/IMPACT,Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months,NUMBER,AGGREGATE,PERCENTAGE,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV I-6/TARGET/IMPACT] Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months,afLjVULlKYU,GC7/H-KRCS/HIV I-6/TARGET/IMPACT,GC7/H-KRCS/HIV I-6/TARGET/IMPACT,Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months,NUMBER,AGGREGATE,PERCENTAGE,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
"[GC7/H-KRCS/HIV O-10/COMMENT/OUTCOME] % of high risk AGYW (15-24) who say they used a condom the last time they had sex with a non-regular partner, of those who have had sex with such a partner in the last 12 months.",xmSRBHkrVIQ,GC7/H-KRCS/HIV O-10/COMMENT/OUTCOME,GC7/H-KRCS/HIV O-10/COMMENT/OUTCOME,"% of high risk AGYW (15-24) who say they used a condom the last time they had sex with a non-regular partner, of those who have had sex with such a partner in the last 12 months.",LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Programmes PR,GC7,No
