name,id,code,shortName,description,formName,domainType,valueType,aggregationoperator,categoryCombo.id,class,Inverse
"[M-TNT: CM-1a⁽ᴹ⁾, COMMENT] Proportion of suspected malaria cases that receive a parasitological test at public sector health facilities",Q3rqmhHGwwf,"M-TNT: CM-1a⁽ᴹ⁾, COMMENT","M-TNT: CM-1a⁽ᴹ⁾, COMMENT",CM-1a⁽ᴹ⁾ Proportion of suspected malaria cases that receive a parasitological test at public sector health facilities,LONG_TEXT,AGGREGATE,LONG_TEXT,,bjDvmb4bfuf,Programmes PR,No
"[M-TNT: CM-1a⁽ᴹ⁾, RESULT] Proportion of suspected malaria cases that receive a parasitological test at public sector health facilities",CJA5DtczxJH,"M-TNT: CM-1a⁽ᴹ⁾, RESULT","M-TNT: CM-1a⁽ᴹ⁾, RESULT",CM-1a⁽ᴹ⁾ Proportion of suspected malaria cases that receive a parasitological test at public sector health facilities,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
"[M-TNT: CM-1a⁽ᴹ⁾, TARGET] Proportion of suspected malaria cases that receive a parasitological test at public sector health facilities",fctA1RxOy5X,"M-TNT: CM-1a⁽ᴹ⁾, TARGET","M-TNT: CM-1a⁽ᴹ⁾, TARGET",CM-1a⁽ᴹ⁾ Proportion of suspected malaria cases that receive a parasitological test at public sector health facilities,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
"[M-TNT: CM-1b⁽ᴹ⁾, COMMENT] Proportion of suspected malaria cases that receive a parasitological test in the community",PfsRcpHsCuQ,"M-TNT: CM-1b⁽ᴹ⁾, COMMENT","M-TNT: CM-1b⁽ᴹ⁾, COMMENT",CM-1b⁽ᴹ⁾ Proportion of suspected malaria cases that receive a parasitological test in the community,LONG_TEXT,AGGREGATE,LONG_TEXT,,bjDvmb4bfuf,Programmes PR,No
"[M-TNT: CM-1b⁽ᴹ⁾, RESULT] Proportion of suspected malaria cases that receive a parasitological test in the community",VqivGLHxUAd,"M-TNT: CM-1b⁽ᴹ⁾, RESULT","M-TNT: CM-1b⁽ᴹ⁾, RESULT",CM-1b⁽ᴹ⁾ Proportion of suspected malaria cases that receive a parasitological test in the community,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
"[M-TNT: CM-1b⁽ᴹ⁾, TARGET] Proportion of suspected malaria cases that receive a parasitological test in the community",EvThJEIOD3k,"M-TNT: CM-1b⁽ᴹ⁾, TARGET","M-TNT: CM-1b⁽ᴹ⁾, TARGET",CM-1b⁽ᴹ⁾ Proportion of suspected malaria cases that receive a parasitological test in the community,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
"[M-TNT: CM-2a⁽ᴹ⁾, COMMENT] Proportion of confirmed malaria cases that received first-line antimalarial treatment at public sector health facilities",mOWaajKAv9X,"M-TNT: CM-2a⁽ᴹ⁾, COMMENT","M-TNT: CM-2a⁽ᴹ⁾, COMMENT",CM-2a⁽ᴹ⁾ Proportion of confirmed malaria cases that received first-line antimalarial treatment at public sector health facilities,LONG_TEXT,AGGREGATE,LONG_TEXT,,bjDvmb4bfuf,Programmes PR,No
"[M-TNT: CM-2a⁽ᴹ⁾, RESULT] Proportion of confirmed malaria cases that received first-line antimalarial treatment at public sector health facilities",R70Rac9IBqN,"M-TNT: CM-2a⁽ᴹ⁾, RESULT","M-TNT: CM-2a⁽ᴹ⁾, RESULT",CM-2a⁽ᴹ⁾ Proportion of confirmed malaria cases that received first-line antimalarial treatment at public sector health facilities,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
"[M-TNT: CM-2a⁽ᴹ⁾, TARGET] Proportion of confirmed malaria cases that received first-line antimalarial treatment at public sector health facilities",qh66sjOjzUV,"M-TNT: CM-2a⁽ᴹ⁾, TARGET","M-TNT: CM-2a⁽ᴹ⁾, TARGET",CM-2a⁽ᴹ⁾ Proportion of confirmed malaria cases that received first-line antimalarial treatment at public sector health facilities,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
"[M-TNT: CM-2b⁽ᴹ⁾, COMMENT] Proportion of confirmed malaria cases that received first-line antimalarial treatment in the community",Q6Y4EXwhRzr,"M-TNT: CM-2b⁽ᴹ⁾, COMMENT","M-TNT: CM-2b⁽ᴹ⁾, COMMENT",CM-2b⁽ᴹ⁾ Proportion of confirmed malaria cases that received first-line antimalarial treatment in the community,LONG_TEXT,AGGREGATE,LONG_TEXT,,bjDvmb4bfuf,Programmes PR,No
