name,id,code,shortName,description,formName,domainType,valueType,aggregationoperator,categoryCombo.id,class,Inverse
"[T-AMREF: BACT_POS, RESULT] Bacteriologically dignosed",pFptAMGDU2k,"T-AMREF: BACT_POS, RESULT","T-AMREF: BACT_POS, RESULT",BACT_POS Bacteriologically dignosed,INTEGER,AGGREGATE,INTEGER,,lIcEPwNcdIT,Programmes PR,No
"[T-AMREF: CLINICAL_POS, RESULT] Clinically diagnosed",bjdrDb4pi83,"T-AMREF: CLINICAL_POS, RESULT","T-AMREF: CLINICAL_POS, RESULT",CLINICAL_POS Clinically diagnosed,INTEGER,AGGREGATE,INTEGER,,lIcEPwNcdIT,Programmes PR,No
"[T-AMREF: CONTACT_REFERRAL, COMMENT] Contacts referred to health facilities",AVgiUXINy2I,"T-AMREF: CONTACT_REFERRAL, COMMENT","T-AMREF: CONTACT_REFERRAL, COMMENT",CONTACT_REFERRAL Contacts referred to health facilities,LONG_TEXT,AGGREGATE,LONG_TEXT,,bjDvmb4bfuf,Programmes PR,No
"[T-AMREF: CONTACT_REFERRAL, RESULT] Contacts referred to health facilities",eUgac1zEmS6,"T-AMREF: CONTACT_REFERRAL, RESULT","T-AMREF: CONTACT_REFERRAL, RESULT",CONTACT_REFERRAL Contacts referred to health facilities,INTEGER,AGGREGATE,INTEGER,,bjDvmb4bfuf,Programmes PR,No
"[T-AMREF: CONTACT_REFERRAL, TARGET] Contacts referred to health facilities",y64KTPuEufw,"T-AMREF: CONTACT_REFERRAL, TARGET","T-AMREF: CONTACT_REFERRAL, TARGET",CONTACT_REFERRAL Contacts referred to health facilities,INTEGER,AGGREGATE,INTEGER,,bjDvmb4bfuf,Programmes PR,No
"[T-AMREF: CONTACT_SCREEN, COMMENT] Contacts of TB index cases screened",Z27doDD8HW5,"T-AMREF: CONTACT_SCREEN, COMMENT","T-AMREF: CONTACT_SCREEN, COMMENT",CONTACT_SCREEN Contacts of TB index cases screened,LONG_TEXT,AGGREGATE,LONG_TEXT,,bjDvmb4bfuf,Programmes PR,No
"[T-AMREF: CONTACT_SCREEN, RESULT] Contacts of TB index cases screened",D2EvZYHvJ7O,"T-AMREF: CONTACT_SCREEN, RESULT","T-AMREF: CONTACT_SCREEN, RESULT",CONTACT_SCREEN Contacts of TB index cases screened,INTEGER,AGGREGATE,INTEGER,,bjDvmb4bfuf,Programmes PR,No
"[T-AMREF: CONTACT_SCREEN, TARGET] Contacts of TB index cases screened",fd2te9klCmZ,"T-AMREF: CONTACT_SCREEN, TARGET","T-AMREF: CONTACT_SCREEN, TARGET",CONTACT_SCREEN Contacts of TB index cases screened,INTEGER,AGGREGATE,INTEGER,,bjDvmb4bfuf,Programmes PR,No
"[T-AMREF: HH_SCREEN, COMMENT] Households visited for contact screening by CHVs",WVIfqTj9Yuw,"T-AMREF: HH_SCREEN, COMMENT","T-AMREF: HH_SCREEN, COMMENT",HH_SCREEN Households visited for contact screening by CHVs,LONG_TEXT,AGGREGATE,LONG_TEXT,,bjDvmb4bfuf,Programmes PR,No
"[T-AMREF: HH_SCREEN, RESULT] Households visited for contact screening by CHVs",O9tOJT44fnj,"T-AMREF: HH_SCREEN, RESULT","T-AMREF: HH_SCREEN, RESULT",HH_SCREEN Households visited for contact screening by CHVs,INTEGER,AGGREGATE,INTEGER,,bjDvmb4bfuf,Programmes PR,No
"[T-AMREF: HH_SCREEN, TARGET] Households visited for contact screening by CHVs",nEVGokLZ92A,"T-AMREF: HH_SCREEN, TARGET","T-AMREF: HH_SCREEN, TARGET",HH_SCREEN Households visited for contact screening by CHVs,INTEGER,AGGREGATE,INTEGER,,bjDvmb4bfuf,Programmes PR,No
"[T-AMREF: IIT_TRACE, COMMENT] Proportion of Treatment interrupters traced & referred",YQC5EAUAVqe,"T-AMREF: IIT_TRACE, COMMENT","T-AMREF: IIT_TRACE, COMMENT",IIT_TRACE Proportion of Treatment interrupters traced & referred,LONG_TEXT,AGGREGATE,LONG_TEXT,,bjDvmb4bfuf,Programmes PR,No
"[T-AMREF: IIT_TRACE, RESULT] Proportion of Treatment interrupters traced & referred",lkZ9CFDu5gG,"T-AMREF: IIT_TRACE, RESULT","T-AMREF: IIT_TRACE, RESULT",IIT_TRACE Proportion of Treatment interrupters traced & referred,INTEGER,AGGREGATE,INTEGER,,bjDvmb4bfuf,Programmes PR,No
