name,id,code,shortName,description,formName,domainType,valueType
[GC7/T-AMREF/RSSH/COMMIT/FINANCE] PR Commitments,,GC7/T-AMREF/RSSH/COMMIT/FINANCE,GC7/T-AMREF/RSSH/COMMIT/FINANCE,PR Commitments,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/CUM_BUDGET/FINANCE] PR Cumulative Budget,,GC7/T-AMREF/RSSH/CUM_BUDGET/FINANCE,GC7/T-AMREF/RSSH/CUM_BUDGET/FINANCE,PR Cumulative Budget,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/CUM_EXP_PR/FINANCE] PR Cumulative Funds Expensed by PR,,GC7/T-AMREF/RSSH/CUM_EXP_PR/FINANCE,GC7/T-AMREF/RSSH/CUM_EXP_PR/FINANCE,PR Cumulative Funds Expensed by PR,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/CUM_EXP_SR/FINANCE] PR Cumulative Funds Expensed by Sub Recipients,,GC7/T-AMREF/RSSH/CUM_EXP_SR/FINANCE,GC7/T-AMREF/RSSH/CUM_EXP_SR/FINANCE,PR Cumulative Funds Expensed by Sub Recipients,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/CUM_FUNDS_DISB_PR/FINANCE] PR Cumulative Funds Disbursed to PR,,GC7/T-AMREF/RSSH/CUM_FUNDS_DISB_PR/FINANCE,GC7/T-AMREF/RSSH/CUM_FUNDS_DISB_PR/FINANCE,PR Cumulative Funds Disbursed to PR,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/CUM_FUNDS_DISB_SR/FINANCE] PR Cumulative Funds Disbursed to Sub Recipients,,GC7/T-AMREF/RSSH/CUM_FUNDS_DISB_SR/FINANCE,GC7/T-AMREF/RSSH/CUM_FUNDS_DISB_SR/FINANCE,PR Cumulative Funds Disbursed to Sub Recipients,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/CUM_SR_BUDGET/FINANCE] PR Cumulative Sub Recipients Budget Amount,,GC7/T-AMREF/RSSH/CUM_SR_BUDGET/FINANCE,GC7/T-AMREF/RSSH/CUM_SR_BUDGET/FINANCE,PR Cumulative Sub Recipients Budget Amount,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/FIN_NARR/FINANCE] PR Comments,,GC7/T-AMREF/RSSH/FIN_NARR/FINANCE,GC7/T-AMREF/RSSH/FIN_NARR/FINANCE,PR Comments,NUMBER,AGGREGATE,LONG_TEXT
[GC7/T-AMREF/RSSH/FIN_RATING/RATING] PR Financial Rating,,GC7/T-AMREF/RSSH/FIN_RATING/RATING,GC7/T-AMREF/RSSH/FIN_RATING/RATING,PR Financial Rating,NUMBER,AGGREGATE,TEXT
[GC7/T-AMREF/RSSH/FIN_RATING_COMMENT/RATING] PR Financial Rating Comments,,GC7/T-AMREF/RSSH/FIN_RATING_COMMENT/RATING,GC7/T-AMREF/RSSH/FIN_RATING_COMMENT/RATING,PR Financial Rating Comments,NUMBER,AGGREGATE,LONG_TEXT
[GC7/T-AMREF/RSSH/FIN_RATING_END/RATING] PR Financial Rating End Date,,GC7/T-AMREF/RSSH/FIN_RATING_END/RATING,GC7/T-AMREF/RSSH/FIN_RATING_END/RATING,PR Financial Rating End Date,NUMBER,AGGREGATE,DATE
[GC7/T-AMREF/RSSH/FIN_RATING_START/RATING] PR Financial Rating Start Date,,GC7/T-AMREF/RSSH/FIN_RATING_START/RATING,GC7/T-AMREF/RSSH/FIN_RATING_START/RATING,PR Financial Rating Start Date,NUMBER,AGGREGATE,DATE
[GC7/T-AMREF/RSSH/OBLIG/FINANCE] PR Obligations,,GC7/T-AMREF/RSSH/OBLIG/FINANCE,GC7/T-AMREF/RSSH/OBLIG/FINANCE,PR Obligations,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/POST_OUTFLOWS/FINANCE] PR Postponed Outflows,,GC7/T-AMREF/RSSH/POST_OUTFLOWS/FINANCE,GC7/T-AMREF/RSSH/POST_OUTFLOWS/FINANCE,PR Postponed Outflows,NUMBER,AGGREGATE,NUMBER
[GC7/T-AMREF/RSSH/PROG_RATING/RATING] PR Programmatic Rating,,GC7/T-AMREF/RSSH/PROG_RATING/RATING,GC7/T-AMREF/RSSH/PROG_RATING/RATING,PR Programmatic Rating,NUMBER,AGGREGATE,TEXT
[GC7/T-AMREF/RSSH/PROG_RATING_COMMENT/RATING] PR Programmatic Rating Comments,,GC7/T-AMREF/RSSH/PROG_RATING_COMMENT/RATING,GC7/T-AMREF/RSSH/PROG_RATING_COMMENT/RATING,PR Programmatic Rating Comments,NUMBER,AGGREGATE,LONG_TEXT
[GC7/T-AMREF/RSSH/PROG_RATING_END/RATING] PR Programmatic Rating End Date,,GC7/T-AMREF/RSSH/PROG_RATING_END/RATING,GC7/T-AMREF/RSSH/PROG_RATING_END/RATING,PR Programmatic Rating End Date,NUMBER,AGGREGATE,DATE
[GC7/T-AMREF/RSSH/PROG_RATING_START/RATING] PR Programmatic Rating Start Date,,GC7/T-AMREF/RSSH/PROG_RATING_START/RATING,GC7/T-AMREF/RSSH/PROG_RATING_START/RATING,PR Programmatic Rating Start Date,NUMBER,AGGREGATE,DATE
"[GC7/T-AMREF/RSSH/PSEAH-CA/COMM_PSEAH] % of community level actors/agents (TB Champions, peer educators, mentor mothers etc) sensitized on PSEAH/SEAH including SEAH reporting channels and have Signed Compliance Document ",,GC7/T-AMREF/RSSH/PSEAH-CA/COMM_PSEAH/COVERAGE,GC7/T-AMREF/RSSH/PSEAH-CA/COMM_PSEAH/COVERAGE,"% of community level actors/agents (TB Champions, peer educators, mentor mothers etc) sensitized on PSEAH/SEAH including SEAH reporting channels and have Signed Compliance Document ",LONG_TEXT,AGGREGATE,LONG_TEXT
"[GC7/T-AMREF/RSSH/PSEAH-CA/RES_PSEAH] % of community level actors/agents (TB Champions, peer educators, mentor mothers etc) sensitized on PSEAH/SEAH including SEAH reporting channels and have Signed Compliance Document ",,GC7/T-AMREF/RSSH/PSEAH-CA/RES_PSEAH/COVERAGE,GC7/T-AMREF/RSSH/PSEAH-CA/RES_PSEAH/COVERAGE,"% of community level actors/agents (TB Champions, peer educators, mentor mothers etc) sensitized on PSEAH/SEAH including SEAH reporting channels and have Signed Compliance Document ",PERCENTAGE,AGGREGATE,PERCENTAGE
"[GC7/T-AMREF/RSSH/PSEAH-CA/TAR_PSEAH] % of community level actors/agents (TB Champions, peer educators, mentor mothers etc) sensitized on PSEAH/SEAH including SEAH reporting channels and have Signed Compliance Document ",,GC7/T-AMREF/RSSH/PSEAH-CA/TAR_PSEAH/COVERAGE,GC7/T-AMREF/RSSH/PSEAH-CA/TAR_PSEAH/COVERAGE,"% of community level actors/agents (TB Champions, peer educators, mentor mothers etc) sensitized on PSEAH/SEAH including SEAH reporting channels and have Signed Compliance Document ",PERCENTAGE,AGGREGATE,PERCENTAGE
[GC7/T-AMREF/RSSH/PSEAH-PB/COMM_PSEAH] % of programme beneficiaries at community level assessed as being at high/medium risk of SEAH sensitized on PSEAH/SEAH including SEAH reporting channels,,GC7/T-AMREF/RSSH/PSEAH-PB/COMM_PSEAH/COVERAGE,GC7/T-AMREF/RSSH/PSEAH-PB/COMM_PSEAH/COVERAGE,% of programme beneficiaries at community level assessed as being at high/medium risk of SEAH sensitized on PSEAH/SEAH including SEAH reporting channels,LONG_TEXT,AGGREGATE,LONG_TEXT
[GC7/T-AMREF/RSSH/PSEAH-PB/RES_PSEAH] % of programme beneficiaries at community level assessed as being at high/medium risk of SEAH sensitized on PSEAH/SEAH including SEAH reporting channels,,GC7/T-AMREF/RSSH/PSEAH-PB/RES_PSEAH/COVERAGE,GC7/T-AMREF/RSSH/PSEAH-PB/RES_PSEAH/COVERAGE,% of programme beneficiaries at community level assessed as being at high/medium risk of SEAH sensitized on PSEAH/SEAH including SEAH reporting channels,PERCENTAGE,AGGREGATE,PERCENTAGE
[GC7/T-AMREF/RSSH/PSEAH-PB/TAR_PSEAH] % of programme beneficiaries at community level assessed as being at high/medium risk of SEAH sensitized on PSEAH/SEAH including SEAH reporting channels,,GC7/T-AMREF/RSSH/PSEAH-PB/TAR_PSEAH/COVERAGE,GC7/T-AMREF/RSSH/PSEAH-PB/TAR_PSEAH/COVERAGE,% of programme beneficiaries at community level assessed as being at high/medium risk of SEAH sensitized on PSEAH/SEAH including SEAH reporting channels,PERCENTAGE,AGGREGATE,PERCENTAGE
[GC7/T-AMREF/RSSH/PSEAH-PR/COMM_PSEAH] % of Principal Recipient (PR) Staff (including Interns and Volunteers) and Board Members Trained on PR PSEAH Policy and Signed Compliance Document Annually,,GC7/T-AMREF/RSSH/PSEAH-PR/COMM_PSEAH/COVERAGE,GC7/T-AMREF/RSSH/PSEAH-PR/COMM_PSEAH/COVERAGE,% of Principal Recipient (PR) Staff (including Interns and Volunteers) and Board Members Trained on PR PSEAH Policy and Signed Compliance Document Annually,LONG_TEXT,AGGREGATE,LONG_TEXT
[GC7/T-AMREF/RSSH/PSEAH-PR/RES_PSEAH] % of Principal Recipient (PR) Staff (including Interns and Volunteers) and Board Members Trained on PR PSEAH Policy and Signed Compliance Document Annually,,GC7/T-AMREF/RSSH/PSEAH-PR/RES_PSEAH/COVERAGE,GC7/T-AMREF/RSSH/PSEAH-PR/RES_PSEAH/COVERAGE,% of Principal Recipient (PR) Staff (including Interns and Volunteers) and Board Members Trained on PR PSEAH Policy and Signed Compliance Document Annually,PERCENTAGE,AGGREGATE,PERCENTAGE
[GC7/T-AMREF/RSSH/PSEAH-PR/TAR_PSEAH] % of Principal Recipient (PR) Staff (including Interns and Volunteers) and Board Members Trained on PR PSEAH Policy and Signed Compliance Document Annually,,GC7/T-AMREF/RSSH/PSEAH-PR/TAR_PSEAH/COVERAGE,GC7/T-AMREF/RSSH/PSEAH-PR/TAR_PSEAH/COVERAGE,% of Principal Recipient (PR) Staff (including Interns and Volunteers) and Board Members Trained on PR PSEAH Policy and Signed Compliance Document Annually,PERCENTAGE,AGGREGATE,PERCENTAGE
[GC7/T-AMREF/RSSH/PSEAH-SR/COMM_PSEAH] % of Sub-Recipient (SRs) whose Staff (including Interns and Volunteers) and Board Members Trained on PSEAH Policy and have Signed Compliance Document Annually,,GC7/T-AMREF/RSSH/PSEAH-SR/COMM_PSEAH/COVERAGE,GC7/T-AMREF/RSSH/PSEAH-SR/COMM_PSEAH/COVERAGE,% of Sub-Recipient (SRs) whose Staff (including Interns and Volunteers) and Board Members Trained on PSEAH Policy and have Signed Compliance Document Annually,LONG_TEXT,AGGREGATE,LONG_TEXT
