name,id,code,shortName,description,formName,domainType,valueType,aggregationoperator,categoryCombo.id,class,Inverse
[GC7/H-TNT/(TDF/3TC/DTG) 90s-AMC/RESULT/COMMODITIES] (TDF/3TC/DTG) 90s AMC,HEPS1glTdSb,GC7/H-TNT/(TDF/3TC/DTG) 90s-AMC/RESULT/COMMODITIES,GC7/H-TNT/(TDF/3TC/DTG) 90s-AMC/RESULT/COMMODITIES,(TDF/3TC/DTG) 90s AMC,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
[GC7/H-TNT/(TDF/3TC/DTG) 90s-BAL/RESULT/COMMODITIES] (TDF/3TC/DTG) 90s Ending Balance,iEk49jTko3x,GC7/H-TNT/(TDF/3TC/DTG) 90s-BAL/RESULT/COMMODITIES,GC7/H-TNT/(TDF/3TC/DTG) 90s-BAL/RESULT/COMMODITIES,(TDF/3TC/DTG) 90s Ending Balance,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
[GC7/H-TNT/(TDF/3TC/DTG) 90s-COMMENT/COMMENT/COMMODITIES] (TDF/3TC/DTG) 90s Comments,S2fvtmlQ1u1,GC7/H-TNT/(TDF/3TC/DTG) 90s-COMMENT/COMMENT/COMMOD,GC7/H-TNT/(TDF/3TC/DTG) 90s-COMMENT/COMMENT/COMMOD,(TDF/3TC/DTG) 90s Comments,LONG_TEXT,AGGREGATE,LONG_TEXT,,bjDvmb4bfuf,Programmes PR,No
[GC7/H-TNT/(TDF/3TC/DTG) 90s-PROC/RESULT/COMMODITIES] (TDF/3TC/DTG) 90s Under Procurement,YheseudKJM3,GC7/H-TNT/(TDF/3TC/DTG) 90s-PROC/RESULT/COMMODITIE,GC7/H-TNT/(TDF/3TC/DTG) 90s-PROC/RESULT/COMMODITIE,(TDF/3TC/DTG) 90s Under Procurement,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
[GC7/H-TNT/(TDF/3TC/DTG) 90s-SOR-D/RESULT/COMMODITIES] (TDF/3TC/DTG) 90s SOR - Denominator,P4Io8vTb0yi,GC7/H-TNT/(TDF/3TC/DTG) 90s-SOR-D/RESULT/COMMODITI,GC7/H-TNT/(TDF/3TC/DTG) 90s-SOR-D/RESULT/COMMODITI,(TDF/3TC/DTG) 90s SOR - Denominator,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
[GC7/H-TNT/(TDF/3TC/DTG) 90s-SOR-N/RESULT/COMMODITIES] (TDF/3TC/DTG) 90s SOR - Numerator,INiKqw0etGE,GC7/H-TNT/(TDF/3TC/DTG) 90s-SOR-N/RESULT/COMMODITI,GC7/H-TNT/(TDF/3TC/DTG) 90s-SOR-N/RESULT/COMMODITI,(TDF/3TC/DTG) 90s SOR - Numerator,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
[GC7/H-TNT/Cotrimoxazole 240mg/5ml suspension-AMC/RESULT/COMMODITIES] Cotrimoxazole 240mg/5ml suspension AMC,sfx5ciwc7uN,GC7/H-TNT/Cotrimoxazole 240mg/5ml suspension-AMC/R,GC7/H-TNT/Cotrimoxazole 240mg/5ml suspension-AMC/R,Cotrimoxazole 240mg/5ml suspension AMC,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
[GC7/H-TNT/Cotrimoxazole 240mg/5ml suspension-BAL/RESULT/COMMODITIES] Cotrimoxazole 240mg/5ml suspension Ending Balance,OKjzuzcSW8X,GC7/H-TNT/Cotrimoxazole 240mg/5ml suspension-BAL/R,GC7/H-TNT/Cotrimoxazole 240mg/5ml suspension-BAL/R,Cotrimoxazole 240mg/5ml suspension Ending Balance,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
[GC7/H-TNT/Cotrimoxazole 240mg/5ml suspension-COMMENT/COMMENT/COMMODITIES] Cotrimoxazole 240mg/5ml suspension Comments,OAtCR8lEBy6,GC7/H-TNT/Cotrimoxazole 240mg/5ml suspension-COMME,GC7/H-TNT/Cotrimoxazole 240mg/5ml suspension-COMME,Cotrimoxazole 240mg/5ml suspension Comments,LONG_TEXT,AGGREGATE,LONG_TEXT,,bjDvmb4bfuf,Programmes PR,No
[GC7/H-TNT/Cotrimoxazole 240mg/5ml suspension-PROC/RESULT/COMMODITIES] Cotrimoxazole 240mg/5ml suspension Under Procurement,Tjj0z0FVVb2,GC7/H-TNT/Cotrimoxazole 240mg/5ml suspension-PROC/,GC7/H-TNT/Cotrimoxazole 240mg/5ml suspension-PROC/,Cotrimoxazole 240mg/5ml suspension Under Procurement,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
