name,id,code,shortName,description,formName,domainType,valueType,aggregationoperator,categoryCombo.id,class,Inverse
"[H-TNT: CSS-1, COMMENT] Percentage of community based monitoring reports presented to relevant oversight mechanisms",cbXd9eWefh7,"H-TNT: CSS-1, COMMENT","H-TNT: CSS-1, COMMENT",CSS-1 Percentage of community based monitoring reports presented to relevant oversight mechanisms,LONG_TEXT,AGGREGATE,LONG_TEXT,,bjDvmb4bfuf,Programmes PR,No
"[H-TNT: CSS-1, RESULT] Percentage of community based monitoring reports presented to relevant oversight mechanisms",FCzNP7jJHFQ,"H-TNT: CSS-1, RESULT","H-TNT: CSS-1, RESULT",CSS-1 Percentage of community based monitoring reports presented to relevant oversight mechanisms,PERCENTAGE,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
"[H-TNT: CSS-1, TARGET] Percentage of community based monitoring reports presented to relevant oversight mechanisms",BI2EdTv7e6C,"H-TNT: CSS-1, TARGET","H-TNT: CSS-1, TARGET",CSS-1 Percentage of community based monitoring reports presented to relevant oversight mechanisms,PERCENTAGE,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
"[H-TNT: HIV I-13, COMMENT] Percentage of people living with HIV",zlOBRhdAfbq,"H-TNT: HIV I-13, COMMENT","H-TNT: HIV I-13, COMMENT",HIV I-13 Percentage of people living with HIV,LONG_TEXT,AGGREGATE,LONG_TEXT,,bjDvmb4bfuf,Programmes PR,No
"[H-TNT: HIV I-13, RESULT] Percentage of people living with HIV",r3WjqzUhSLI,"H-TNT: HIV I-13, RESULT","H-TNT: HIV I-13, RESULT",HIV I-13 Percentage of people living with HIV,PERCENTAGE,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
"[H-TNT: HIV I-13, TARGET] Percentage of people living with HIV",b9uT7BJp1yv,"H-TNT: HIV I-13, TARGET","H-TNT: HIV I-13, TARGET",HIV I-13 Percentage of people living with HIV,PERCENTAGE,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
"[H-TNT: HIV I-14 , TARGET] Number of new HIV infections per 1000 uninfected population",RYjAb8ds10X,"H-TNT: HIV I-14 , TARGET, INVERSE","H-TNT: HIV I-14 , TARGET",HIV I-14 Number of new HIV infections per 1000 uninfected population,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,Yes
"[H-TNT: HIV I-14, COMMENT] Number of new HIV infections per 1000 uninfected population",G6gEFEHsUaY,"H-TNT: HIV I-14, COMMENT, INVERSE","H-TNT: HIV I-14, COMMENT",HIV I-14 Number of new HIV infections per 1000 uninfected population,LONG_TEXT,AGGREGATE,LONG_TEXT,,bjDvmb4bfuf,Programmes PR,Yes
"[H-TNT: HIV I-14, RESULT] Number of new HIV infections per 1000 uninfected population",G9a00zxQPBB,"H-TNT: HIV I-14, RESULT, INVERSE","H-TNT: HIV I-14, RESULT",HIV I-14 Number of new HIV infections per 1000 uninfected population,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,Yes
"[H-TNT: HIV I-4 , TARGET] Number of AIDS-related deaths per 100,000 population",sZS83RHcmvg,"H-TNT: HIV I-4 , TARGET, INVERSE","H-TNT: HIV I-4 , TARGET"," HIV I-4 Number of AIDS-related deaths per 100,000 population",NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,Yes
