name,id,code,shortName,description,formName,domainType,valueType,aggregationoperator,categoryCombo.id,class,Inverse
[GC7/T-TNT/BBL  MGIT tubes-AMC/RESULT/COMMODITIES] BBL  MGIT tubes AMC,kNbJEb1R5g2,GC7/T-TNT/BBL  MGIT tubes-AMC/RESULT/COMMODITIES,GC7/T-TNT/BBL  MGIT tubes-AMC/RESULT/COMMODITIES,BBL  MGIT tubes AMC,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
[GC7/T-TNT/BBL  MGIT tubes-BAL/RESULT/COMMODITIES] BBL  MGIT tubes Ending Balance,A9FV5AsGy1M,GC7/T-TNT/BBL  MGIT tubes-BAL/RESULT/COMMODITIES,GC7/T-TNT/BBL  MGIT tubes-BAL/RESULT/COMMODITIES,BBL  MGIT tubes Ending Balance,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
[GC7/T-TNT/BBL  MGIT tubes-COMMENT/COMMENT/COMMODITIES] BBL  MGIT tubes Comments,CPKpgNXdfpu,GC7/T-TNT/BBL  MGIT tubes-COMMENT/COMMENT/COMMODIT,GC7/T-TNT/BBL  MGIT tubes-COMMENT/COMMENT/COMMODIT,BBL  MGIT tubes Comments,LONG_TEXT,AGGREGATE,LONG_TEXT,,bjDvmb4bfuf,Programmes PR,No
[GC7/T-TNT/BBL  MGIT tubes-PROC/RESULT/COMMODITIES] BBL  MGIT tubes Under Procurement,EcBTw8FdYS2,GC7/T-TNT/BBL  MGIT tubes-PROC/RESULT/COMMODITIES,GC7/T-TNT/BBL  MGIT tubes-PROC/RESULT/COMMODITIES,BBL  MGIT tubes Under Procurement,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
[GC7/T-TNT/BBL  MGIT tubes-SOR-D/RESULT/COMMODITIES] BBL  MGIT tubes SOR - Denominator,DZU8utrJSrn,GC7/T-TNT/BBL  MGIT tubes-SOR-D/RESULT/COMMODITIES,GC7/T-TNT/BBL  MGIT tubes-SOR-D/RESULT/COMMODITIES,BBL  MGIT tubes SOR - Denominator,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
[GC7/T-TNT/BBL  MGIT tubes-SOR-N/RESULT/COMMODITIES] BBL  MGIT tubes SOR - Numerator,RM6hlRjNuFJ,GC7/T-TNT/BBL  MGIT tubes-SOR-N/RESULT/COMMODITIES,GC7/T-TNT/BBL  MGIT tubes-SOR-N/RESULT/COMMODITIES,BBL  MGIT tubes SOR - Numerator,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
[GC7/T-TNT/Bedaquiline 100mg-AMC/RESULT/COMMODITIES] Bedaquiline 100mg AMC,qV67MU579gM,GC7/T-TNT/Bedaquiline 100mg-AMC/RESULT/COMMODITIES,GC7/T-TNT/Bedaquiline 100mg-AMC/RESULT/COMMODITIES,Bedaquiline 100mg AMC,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
[GC7/T-TNT/Bedaquiline 100mg-BAL/RESULT/COMMODITIES] Bedaquiline 100mg Ending Balance,KWjXS13t0VT,GC7/T-TNT/Bedaquiline 100mg-BAL/RESULT/COMMODITIES,GC7/T-TNT/Bedaquiline 100mg-BAL/RESULT/COMMODITIES,Bedaquiline 100mg Ending Balance,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
[GC7/T-TNT/Bedaquiline 100mg-COMMENT/COMMENT/COMMODITIES] Bedaquiline 100mg Comments,NRt86egkq6h,GC7/T-TNT/Bedaquiline 100mg-COMMENT/COMMENT/COMMOD,GC7/T-TNT/Bedaquiline 100mg-COMMENT/COMMENT/COMMOD,Bedaquiline 100mg Comments,LONG_TEXT,AGGREGATE,LONG_TEXT,,bjDvmb4bfuf,Programmes PR,No
[GC7/T-TNT/Bedaquiline 100mg-PROC/RESULT/COMMODITIES] Bedaquiline 100mg Under Procurement,X4kIayRBb5J,GC7/T-TNT/Bedaquiline 100mg-PROC/RESULT/COMMODITIE,GC7/T-TNT/Bedaquiline 100mg-PROC/RESULT/COMMODITIE,Bedaquiline 100mg Under Procurement,NUMBER,AGGREGATE,NUMBER,,bjDvmb4bfuf,Programmes PR,No
